id,name,type,is_fast_move,pve_power,pve_energy_delta,duration_ms,damage_window_start_ms,damage_window_end_ms,pvp_power,pvp_energy_delta
747,RAZOR_LEAF,GRASS,True,13.0,7,1000,600,850,9.0,4
748,MUD_SHOT,GROUND,True,4.0,6,500,250,450,3.0,9
749,ICE_SHARD,ICE,True,10.0,10,1000,400,700,9.0,10
750,FROST_BREATH,ICE,True,11.0,9,1000,550,850,7.0,5
751,QUICK_ATTACK,NORMAL,True,10.0,13,1000,450,750,5.0,8
752,SCRATCH,NORMAL,True,6.0,4,500,300,500,4.0,2
753,TACKLE,NORMAL,True,5.0,5,500,300,500,3.0,3
754,POUND,NORMAL,True,6.0,5,500,240,440,4.0,4
755,CUT,NORMAL,True,5.0,5,500,300,500,3.0,2
756,POISON_JAB,POISON,True,13.0,9,1000,400,1000,7.0,7
757,ACID,POISON,True,11.0,10,1000,600,800,6.0,8
758,PSYCHO_CUT,PSYCHIC,True,4.0,7,500,270,470,4.0,9
759,ROCK_THROW,ROCK,True,13.0,8,1000,600,900,8.0,5
760,METAL_CLAW,STEEL,True,6.0,5,500,230,430,5.0,7
761,BULLET_PUNCH,STEEL,True,10.0,11,1000,400,1000,7.0,7
762,WATER_GUN,WATER,True,5.0,5,500,300,500,3.0,3
763,SPLASH,WATER,True,0.0,17,1500,800,1000,0.0,12
764,WATER_GUN_BLASTOISE,WATER,True,10.0,6,1000,300,500,6.0,4
765,MUD_SLAP,GROUND,True,19.0,13,1500,1250,1450,11.0,10
766,ZEN_HEADBUTT,PSYCHIC,True,11.0,9,1000,750,950,8.0,6
767,CONFUSION,PSYCHIC,True,19.0,14,1500,500,1500,16.0,14
768,POISON_STING,POISON,True,4.0,6,500,275,475,4.0,9
769,BUBBLE,WATER,True,10.0,12,1000,550,800,8.0,11
770,FEINT_ATTACK,DARK,True,11.0,10,1000,850,1000,6.0,6
771,STEEL_WING,STEEL,True,14.0,8,1000,700,1000,7.0,5
772,FIRE_FANG,FIRE,True,13.0,9,1000,740,940,8.0,6
773,ROCK_SMASH,FIGHTING,True,17.0,12,1500,750,1000,9.0,7
774,TRANSFORM,NORMAL,True,0.0,0,2000,70,470,0.0,0
775,COUNTER,FIGHTING,True,13.0,9,1000,800,1000,8.0,6
776,POWDER_SNOW,ICE,True,6.0,15,1000,850,1000,6.0,8
781,CHARGE_BEAM,ELECTRIC,True,7.0,14,1000,750,950,5.0,11
782,VOLT_SWITCH,ELECTRIC,True,13.0,20,1500,600,800,14.0,16
785,DRAGON_TAIL,DRAGON,True,14.0,8,1000,750,950,9.0,12
787,AIR_SLASH,FLYING,True,12.0,8,1000,800,1000,9.0,9
792,INFESTATION,BUG,True,9.0,13,1000,750,950,6.0,12
793,STRUGGLE_BUG,BUG,True,15.0,15,1500,1200,1500,9.0,8
795,ASTONISH,GHOST,True,7.0,13,1000,600,950,12.0,10
796,HEX,GHOST,True,8.0,13,1000,800,1000,7.0,13
798,IRON_TAIL,STEEL,True,14.0,6,1000,750,950,10.0,7
801,FIRE_SPIN,FIRE,True,13.0,9,1000,750,950,11.0,10
803,BULLET_SEED,GRASS,True,7.0,13,1000,750,950,5.0,13
806,EXTRASENSORY,PSYCHIC,True,11.0,11,1000,750,950,8.0,10
810,SNARL,DARK,True,11.0,13,1000,750,950,5.0,13
813,HIDDEN_POWER,NORMAL,True,15.0,15,1500,1100,1400,9.0,8
814,TAKE_DOWN,NORMAL,True,7.0,8,1000,750,900,5.0,8
815,WATERFALL,WATER,True,13.0,7,1000,750,900,11.0,10
819,YAWN,NORMAL,True,0.0,13,1500,1200,1400,0.0,12
823,PRESENT,NORMAL,True,6.0,23,1500,1300,1500,3.0,12
829,SMACK_DOWN,ROCK,True,13.0,7,1000,600,900,11.0,8
850,CHARM,FAIRY,True,20.0,11,1500,900,1200,13.0,8
855,LOCK_ON,NORMAL,True,2.0,10,500,370,500,1.0,5
856,THUNDER_FANG,ELECTRIC,True,10.0,13,1000,200,700,8.0,6
857,ICE_FANG,ICE,True,12.0,20,1500,400,1000,8.0,6
873,GUST,FLYING,True,25.0,20,2000,900,2000,16.0,12
874,INCINERATE,FIRE,True,32.0,22,2500,700,2500,20.0,20
876,FAIRY_WIND,FAIRY,True,9.0,13,1000,630,1000,4.0,9
879,DOUBLE_KICK,FIGHTING,True,10.0,13,1000,300,800,8.0,12
880,MAGICAL_LEAF,GRASS,True,17.0,17,1500,850,1400,10.0,10
891,ROLLOUT,ROCK,True,15.0,19,1500,1060,1300,7.0,13
896,WATER_SHURIKEN,WATER,True,9.0,14,1000,900,1000,6.0,14
908,LEAFAGE,GRASS,True,6.0,4,500,200,700,6.0,8
910,GEOMANCY,FAIRY,True,20.0,14,1500,1000,1500,8.0,13
924,PSYWAVE,PSYCHIC,True,4.0,7,500,300,600,3.0,4
925,METAL_SOUND,STEEL,True,4.0,6,500,200,700,5.0,8
926,SAND_ATTACK,GROUND,True,4.0,7,500,300,600,2.0,4
932,FORCE_PALM,FIGHTING,True,10.0,16,1000,800,1000,13.0,10
1273,CRUSH_CLAW,NORMAL,False,0.0,0,2000,1300,1800,0.0,0
1274,LEECH_LIFE,BUG,False,0.0,0,2500,1150,1400,0.0,0
1275,HORN_DRILL,NORMAL,False,9000.0,-25,2000,600,1600,0.0,0
1276,FISSURE,GROUND,False,9001.0,-25,3000,1200,2500,0.0,0
